Date,Max T (F),Min T (F),Avg T (F),Precipitation (inches),Precipitation (mm),event_id
2021-02-25,47.0,31.0,39.0,0.45,11.43,76
2021-02-26,46.0,39.0,42.5,0.55,13.97,76
2021-12-01,59.0,41.0,50.0,1.39,35.31,77
2021-12-02,53.0,42.0,47.5,0.17,4.32,77
2021-12-04,47.0,30.0,38.5,0.16,4.06,78
2021-12-05,43.0,31.0,37.0,0.3,7.62,78
2021-12-08,50.0,27.0,38.5,0.18,4.57,79
2021-12-09,46.0,35.0,40.5,0.2,5.08,79
2021-12-10,42.0,26.0,34.0,0.3,7.62,79
2021-12-11,51.0,,,2.19,55.63,79
2021-12-12,50.0,37.0,43.5,0.45,11.43,79
2021-12-13,50.0,33.0,41.5,0.58,14.73,79
2021-12-14,41.0,25.0,33.0,0.2,5.08,79
2021-12-15,39.0,34.0,36.5,0.73,18.54,79
2021-12-16,40.0,,,0.19,4.83,79
2021-12-18,49.0,32.0,40.5,1.0,25.4,80
2021-12-19,50.0,,,1.22,30.99,80
2021-12-20,45.0,36.0,40.5,0.18,4.57,80
2021-12-21,37.0,25.0,31.0,0.2,5.08,80
2021-12-22,49.0,,,0.36,9.14,80
2021-12-23,49.0,37.0,43.0,0.75,19.05,80
2021-12-24,44.0,37.0,40.5,0.75,19.05,80
2021-12-25,37.0,30.0,33.5,0.45,11.43,80
2021-12-27,34.0,19.0,26.5,0.3,7.62,81
2021-12-30,41.0,21.0,31.0,0.19,4.83,82
2022-01-03,45.0,35.0,40.0,2.58,65.53,83
2022-01-04,45.0,33.0,39.0,0.43,10.92,83
2022-01-05,38.0,33.0,35.5,0.16,4.06,83
2022-01-06,50.0,30.0,40.0,3.32,84.33,83
2022-01-07,50.0,,,4.91,124.71,83
2022-01-08,43.0,34.0,38.5,0.15,3.81,83
2022-01-11,51.0,36.0,43.5,1.05,26.67,84
2022-01-12,54.0,36.0,45.0,3.0,76.2,84
2022-01-13,58.0,36.0,47.0,0.42,10.67,84
2022-01-18,50.0,35.0,42.5,0.18,4.57,85
2022-01-20,52.0,42.0,47.0,0.56,14.22,86
2022-01-31,49.0,36.0,42.5,0.7,17.78,87
2022-02-01,45.0,32.0,38.5,0.21,5.33,87
2022-02-03,45.0,32.0,38.5,0.25,6.35,88
2022-02-14,59.0,33.0,46.0,0.2,5.08,89
2022-02-20,47.0,38.0,42.5,0.48,12.19,90
2022-02-21,46.0,35.0,40.5,0.2,5.08,90
2022-02-27,48.0,38.0,43.0,0.8,20.32,91
2022-02-28,52.0,46.0,49.0,2.69,68.33,91
